2010-01-01,08:05,16:02
2010-01-02,08:05,16:03
2010-01-03,08:05,16:04
2010-01-04,08:05,16:05
2010-01-05,08:05,16:06
2010-01-06,08:04,16:07
2010-01-07,08:04,16:09
2010-01-08,08:03,16:10
2010-01-09,08:03,16:11
2010-01-10,08:02,16:13
2010-01-11,08:02,16:14
2010-01-12,08:01,16:16
2010-01-13,08:00,16:17
2010-01-14,08:00,16:19
2010-01-15,07:59,16:20
2010-01-16,07:58,16:22
2010-01-17,07:57,16:23
2010-01-18,07:56,16:25
2010-01-19,07:55,16:27
2010-01-20,07:54,16:28
2010-01-21,07:53,16:30
2010-01-22,07:52,16:32
2010-01-23,07:51,16:33
2010-01-24,07:49,16:35
2010-01-25,07:48,16:37
2010-01-26,07:47,16:39
2010-01-27,07:46,16:40
2010-01-28,07:44,16:42
2010-01-29,07:43,16:44
2010-01-30,07:41,16:46
2010-01-31,07:40,16:48
2010-02-01,07:38,16:49
2010-02-02,07:37,16:51
2010-02-03,07:35,16:53
2010-02-04,07:34,16:55
2010-02-05,07:32,16:57
2010-02-06,07:30,16:58
2010-02-07,07:29,17:00
2010-02-08,07:27,17:02
2010-02-09,07:25,17:04
2010-02-10,07:23,17:06
2010-02-11,07:21,17:08
2010-02-12,07:20,17:09
2010-02-13,07:18,17:11
2010-02-14,07:16,17:13
2010-02-15,07:14,17:15
2010-02-16,07:12,17:17
2010-02-17,07:10,17:18
2010-02-18,07:08,17:20
2010-02-19,07:06,17:22
2010-02-20,07:04,17:24
2010-02-21,07:02,17:26
2010-02-22,07:00,17:28
2010-02-23,06:58,17:29
2010-02-24,06:56,17:31
2010-02-25,06:54,17:33
2010-02-26,06:52,17:35
2010-02-27,06:50,17:36
2010-02-28,06:48,17:38
2010-03-01,06:45,17:40
2010-03-02,06:43,17:42
2010-03-03,06:41,17:44
2010-03-04,06:39,17:45
2010-03-05,06:37,17:47
2010-03-06,06:35,17:49
2010-03-07,06:32,17:50
2010-03-08,06:30,17:52
2010-03-09,06:28,17:54
2010-03-10,06:26,17:56
2010-03-11,06:23,17:57
2010-03-12,06:21,17:59
2010-03-13,06:19,18:01
2010-03-14,06:17,18:03
2010-03-15,06:14,18:04
2010-03-16,06:12,18:06
2010-03-17,06:10,18:08
2010-03-18,06:08,18:09
2010-03-19,06:05,18:11
2010-03-20,06:03,18:13
2010-03-21,06:01,18:14
2010-03-22,05:59,18:16
2010-03-23,05:56,18:18
2010-03-24,05:54,18:19
2010-03-25,05:52,18:21
2010-03-26,05:49,18:23
2010-03-27,05:47,18:25
2010-03-28,05:45,18:26
2010-03-29,05:43,18:28
2010-03-30,05:40,18:30
2010-03-31,05:38,18:31
2010-04-01,05:36,18:33
2010-04-02,05:34,18:35
2010-04-03,05:31,18:36
2010-04-04,05:29,18:38
2010-04-05,05:27,18:40
2010-04-06,05:25,18:41
2010-04-07,05:22,18:43
2010-04-08,05:20,18:45
2010-04-09,05:18,18:46
